ValidDate,ValidTime,latitude,longitude,Hour_gpxtocsv,lat_Approx,long_Approx,Hour,PM10_AQI,PM25_AQI
04/16/2024,15:55,34.021526,-118.288752,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:55,34.021566,-118.28889,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:55,34.02147,-118.288567,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:56,34.021553,-118.288315,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:56,34.021452,-118.288464,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:56,34.021578,-118.288401,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:56,34.021503,-118.288488,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:56,34.021594,-118.288463,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:57,34.02156,-118.288531,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:57,34.021578,-118.288662,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:57,34.021656,-118.288791,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:57,34.0217,-118.288915,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:57,34.021684,-118.289025,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:57,34.021624,-118.28911,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:57,34.021548,-118.289003,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:57,34.021516,-118.288871,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:57,34.021528,-118.288764,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:58,34.021528,-118.288794,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:58,34.021575,-118.288888,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:58,34.021599,-118.288761,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,15:59,34.021564,-118.288623,15,34.066429,-118.226755,15:00,16.0,42.0
04/16/2024,16:01,34.021673,-118.288653,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:01,34.021594,-118.288708,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:01,34.021721,-118.288666,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:01,34.021641,-118.288768,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:01,34.021546,-118.288658,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:02,34.021499,-118.288777,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:02,34.021527,-118.288903,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:02,34.021582,-118.289018,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:02,34.021607,-118.289134,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:02,34.021689,-118.289089,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:02,34.021551,-118.289181,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:02,34.021646,-118.289197,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:02,34.021683,-118.289318,16,34.066429,-118.226755,16:00,17.0,43.0
04/16/2024,16:02,34.021723,-118.289206,16,34.066429,-118.226755,16:00,17.0,43.0
