000010601, 53, 18, 16, -60, 21, 51,'Goose Bay                               ',CN2
000020104, 46, 14, 26, -63, 07, 50,'CHARLOTTETOWN                           ',PE1
000020301, 46, 28, 41, -63, 59, 12,'WELLINGTON                              ',PE1
000020401, 46, 23, 11, -62, 34, 58,'SOUTHAMPTON                             ',PE1
000030113, 44, 38, 49, -63, 34, 25,'JOHNSTON BUILDING -                     ',NS1
000030120, 44, 43, 11, -63, 28, 50,'Lake Major                              ',NS1
000030201, 45, 36, 50, -61, 21, 43,'PORT HAWKESBURY                         ',NS1
000030310, 46, 08, 32, -60, 10, 21,'SYDNEY                                  ',NS1
000030502, 44, 24, 10, -65, 12, 09,'Kejimkujik Site B                       ',CN2
000030701, 45, 04, 21, -64, 50, 24,'AYLESFORD MOUNTAIN                      ',NS1
000030901, 45, 40, 54, -62, 41, 47,'PICTOU                                  ',NS1
000031101, 45, 04, 02, -64, 28, 38,'KENTVILLE                               ',NS1
000050113, 45, 32, 49, -73, 44, 49,'Laval - Chomedey                        ',QC1
000050119, 45, 31, 23, -73, 29, 38,'Longueuil                               ',QC1
000050122, 45, 26, 55, -73, 28, 07,'Brossard - Parc Sorbonne                ',QC1
000050137, 45, 42, 17, -73, 39, 27,'Terrebonne - Parc Vaillant              ',QC1
000050204, 45, 26, 12, -75, 43, 33,'Gatineau - Hull                         ',QC1
000050308, 46, 49, 17, -71, 13, 14,'Quebec - Vieux-Limoilou                 ',QC1
000050310, 46, 47, 48, -71, 14, 45,'Quebec - College St-Charles Ga          ',QC1
000050311, 46, 46, 27, -71, 22, 10,'Quebec - Ecole Les Primeveres           ',QC1
000050504, 48, 24, 55, -71, 03, 10,'Saguenay - UQAC                         ',QC1
000050604, 48, 14, 03, -78, 58, 59,'Rouyn-Noranda - Parc Tremblay           ',QC1
000050803, 46, 21, 25, -72, 32, 46,'Trois-Rivieres - Ecole MEES             ',QC1
000051201, 46, 33, 15, -72, 44, 09,'Shawinigan - Saint-Marc                 ',QC1
000051501, 46, 02, 30, -72, 39, 36,'Saint-Zephirin-de-Courval               ',QC1
000052001, 46, 26, 33, -72, 53, 34,'Charette                                ',QC1
000052301, 46, 02, 06, -74, 28, 54,'Saint-Faustin-Lac-Carre                 ',QC1
000052401, 45, 37, 19, -76, 01, 04,'Parc de la Gatineau - La Peche          ',QC1
000052701, 46, 43, 17, -79, 05, 58,'Temiscaming                             ',QC1
000052801, 47, 43, 59, -68, 42, 25,'Auclair                                 ',QC1
000053201, 48, 49, 05, -72, 44, 34,'Res. Faun. Ashuapmushuan - Pem          ',QC1
000053301, 46, 40, 55, -71, 58, 04,'Deschambault                            ',QC1
000053601, 46, 51, 02, -70, 27, 10,'Notre-Dame-du-Rosaire                   ',QC1
000053701, 45, 48, 56, -70, 51, 34,'Saint-Hilaire-de-Dorset                 ',QC1
000053801, 45, 54, 27, -71, 56, 57,'Tingwick                                ',QC1
000054201, 49, 49, 19, -74, 58, 35,'Chapais                                 ',CN2
000054401, 45, 07, 00, -74, 16, 59,'Saint-Anicet                            ',QC1
000054703, 46, 21, 00, -72, 25, 59,'Becancour                               ',QC1
000054901, 45, 22, 23, -71, 15, 05,'La Patrie - Ditton                      ',QC1
000055001, 46, 46, 06, -75, 25, 54,'Mont-Saint-Michel                       ',QC1
000055101, 48, 25, 57, -77, 11, 58,'Senneterre                              ',QC1
000055301, 45, 17, 39, -73, 20, 56,'Saint-Jean-sur-Richelieu - L'A          ',QC1
000055401, 46, 21, 44, -72, 30, 36,'Trois-Rivieres - Cap-de-la-Mad          ',QC1
000055501, 45, 03, 06, -72, 51, 42,'Frelighsburg                            ',CN2
000055702, 46, 48, 08, -71, 10, 06,'Levis - Parc Georges Maranda            ',QC1
000060104, 45, 26, 03, -75, 40, 33,'Ottawa Downtown                         ',ON1
000060204, 42, 18, 56, -83, 02, 37,'Windsor Downtown                        ',ON1
000060211, 42, 17, 34, -83, 04, 23,'Windsor West                            ',ON1
000060304, 44, 13, 11, -76, 31, 16,'Kingston                                ',ON1
000060410, 43, 44, 52, -79, 16, 26,'Toronto East                            ',ON1
000060512, 43, 15, 28, -79, 51, 42,'Hamilton Downtown                       ',ON1
000060515, 43, 15, 26, -79, 54, 27,'Hamilton West                           ',ON1
000060610, 46, 29, 31, -81, 00, 11,'Sudbury                                 ',ON1
000060709, 46, 31, 59, -84, 18, 35,'Sault Ste Marie                         ',ON1
000060904, 42, 58, 28, -81, 12, 02,'London                                  ',ON1
000061009, 42, 59, 24, -82, 23, 43,'Sarnia                                  ',ON1
000061104, 44, 18, 06, -78, 20, 46,'Peterborough                            ',ON1
000061201, 45, 01, 04, -74, 44, 07,'Cornwall                                ',ON1
000061302, 43, 09, 36, -79, 14, 05,'St. Catharines                          ',ON1
000061402, 43, 08, 18, -80, 17, 33,'Brantford                               ',ON1
000061502, 43, 26, 37, -80, 30, 13,'Kitchener                               ',ON1
000061802, 43, 33, 05, -80, 15, 51,'Guelph                                  ',ON1
000062001, 46, 19, 21, -79, 26, 57,'North Bay                               ',ON1
000062501, 44, 18, 52, -81, 32, 58,'Tiverton                                ',ON1
000063001, 43, 18, 52, -79, 48, 09,'Burlington                              ',ON1
000063301, 45, 13, 27, -78, 55, 58,'Dorset                                  ',ON1
000063701, 43, 19, 59, -81, 44, 34,'Grand Bend                              ',ON1
000064001, 49, 39, 50, -93, 43, 15,'Experimental Lakes                      ',CN2
000064101, 47, 02, 06, -84, 22, 51,'Algoma                                  ',CN2
000064401, 44, 13, 57, -79, 46, 53,'Egbert                                  ',CN2
000065001, 44, 22, 56, -79, 42, 08,'Barrie                                  ',ON1
000065201, 45, 20, 17, -80, 02, 21,'Parry Sound                             ',ON1
000065301, 42, 40, 19, -81, 09, 46,'Port Stanley                            ',ON1
000065401, 44, 09, 01, -77, 23, 43,'Belleville                              ',ON1
000065801, 42, 24, 14, -82, 12, 29,'Chatham                                 ',ON1
000065901, 54, 26, 57, -90, 13, 03,'Pickle Lake                             ',CN2
000066101, 49, 23, 11, -82, 07, 17,'Bonner Lake                             ',CN2
000070118, 49, 55, 54, -96, 51, 47,'Winnipeg_Scotia                         ',CN3
000070119, 49, 56, 56, -97, 23, 47,'Winnipeg_Ellens                         ',CN3
000070203, 49, 50, 31, -99, 55, 08,'Brandon                                 ',CN3
000070301, 54, 45, 54, -101, 52, 31,'Flin Flon                               ',CN3
000080211, 52, 08, 09, -106, 39, 46,'Saskatoon                               ',SK1
000080402, 53, 12, 06, -105, 45, 07,'PRINCE ALBERT                           ',SK1
000081001, 50, 17, 08, -107, 49, 00,'SWIFT CURRENT                           ',SK1
000082001, 55, 30, 11, -106, 43, 18,'Pinehouse Lake                          ',CN2
000100110, 49, 16, 45, -122, 58, 15,'Kensington Park                         ',BC2
000100111, 49, 16, 50, -122, 50, 57,'Rocky Point Park                        ',BC2
000100119, 49, 12, 55, -122, 59, 08,'Burnaby South                           ',BC2
000100125, 49, 09, 29, -122, 54, 06,'North Delta                             ',BC2
000100127, 49, 07, 58, -122, 41, 39,'Surrey East                             ',BC2
000100128, 49, 08, 29, -123, 06, 29,'Richmond South                          ',BC2
000100132, 49, 19, 26, -123, 05, 00,'Mahon Park                              ',BC2
000100134, 49, 11, 11, -123, 09, 07,'Vancouver Airport                       ',BC2
000100135, 49, 17, 17, -122, 47, 29,'Coquitlam                               ',BC2
000100140, 49, 00, 35, -123, 04, 55,'Tsawwassen                              ',BC2
000100202, 53, 54, 52, -122, 44, 30,'PRG Plaza 400                           ',BC1
000100212, 53, 50, 29, -122, 44, 03,'Prince George Marsulex Acid Pl          ',BC1
000100304, 48, 26, 30, -123, 21, 47,'Victoria Topaz                          ',BC1
000100308, 48, 25, 26, -123, 29, 34,'Colwood City Hall                       ',BC1
000100401, 50, 40, 29, -120, 20, 02,'Kamloops Federal Building               ',BC1
000101003, 49, 02, 34, -122, 18, 34,'Abbotsford                              ',BC2
