ValidDate,ValidTime,latitude,longitude
04/20/2024,02:27,34.025079,-118.279177
04/20/2024,02:27,34.025079,-118.279177
04/20/2024,02:27,34.025016,-118.279262
04/20/2024,05:13,34.02502,-118.279141
04/20/2024,05:51,34.025097,-118.279214
04/20/2024,07:19,34.025033,-118.279308
04/20/2024,07:42,34.025027,-118.279197
04/20/2024,08:04,34.025129,-118.279232
04/20/2024,08:45,34.02503,-118.279251
04/20/2024,08:50,34.025139,-118.279204
04/20/2024,08:50,34.025042,-118.27923
04/20/2024,09:57,34.025012,-118.279348
04/20/2024,09:57,34.025117,-118.27918
04/20/2024,09:57,34.025117,-118.27918
04/20/2024,09:57,34.024997,-118.279184
04/20/2024,09:57,34.025117,-118.27918
04/20/2024,09:57,34.025086,-118.279194
04/20/2024,10:04,34.02508,-118.279196
04/20/2024,10:29,34.024937,-118.279096
04/20/2024,10:29,34.02489,-118.279205
04/20/2024,10:29,34.024904,-118.279193
04/20/2024,10:29,34.024854,-118.279091
04/20/2024,10:29,34.024852,-118.27898
04/20/2024,10:30,34.02476,-118.278947
04/20/2024,10:30,34.024648,-118.278756
04/20/2024,10:30,34.024582,-118.278383
04/20/2024,10:31,34.024565,-118.278492
04/20/2024,10:31,34.024622,-118.278635
04/20/2024,10:31,34.024598,-118.278528
04/20/2024,10:31,34.024638,-118.278514
04/20/2024,10:32,34.024549,-118.278481
04/20/2024,10:32,34.0245,-118.278384
04/20/2024,10:32,34.024589,-118.278433
04/20/2024,10:32,34.024593,-118.278547
04/20/2024,10:32,34.02465,-118.278458
04/20/2024,10:32,34.02474,-118.278444
04/20/2024,10:32,34.02479,-118.278352
04/20/2024,10:32,34.024855,-118.278272
04/20/2024,10:33,34.024951,-118.278258
04/20/2024,10:33,34.025044,-118.278205
04/20/2024,10:34,34.025123,-118.278148
04/20/2024,10:34,34.025208,-118.2781
04/20/2024,10:35,34.025282,-118.278033
04/20/2024,10:35,34.025367,-118.277993
04/20/2024,10:35,34.025454,-118.277948
04/20/2024,10:35,34.02553,-118.277886
04/20/2024,10:35,34.025609,-118.277827
04/20/2024,10:35,34.025692,-118.277773
04/20/2024,10:35,34.025784,-118.277725
04/20/2024,10:36,34.025866,-118.27767
04/20/2024,10:36,34.025947,-118.277616
04/20/2024,10:36,34.026035,-118.277568
04/20/2024,10:36,34.02613,-118.277539
04/20/2024,10:37,34.026203,-118.277468
04/20/2024,10:37,34.026287,-118.277408
04/20/2024,10:37,34.02638,-118.277358
04/20/2024,10:37,34.02647,-118.27731
04/20/2024,10:38,34.026527,-118.2774
04/20/2024,10:38,34.026507,-118.277515
04/20/2024,10:39,34.02642,-118.277543
04/20/2024,10:40,34.02646,-118.277445
04/20/2024,10:40,34.026518,-118.277534
04/20/2024,10:40,34.026417,-118.277491
04/20/2024,10:42,34.026521,-118.277484
04/20/2024,10:42,34.026462,-118.277579
04/20/2024,10:43,34.026573,-118.277549
04/20/2024,10:44,34.026479,-118.277542
04/20/2024,10:44,34.026538,-118.277445
04/20/2024,10:45,34.026458,-118.277498
04/20/2024,10:48,34.026544,-118.277457
04/20/2024,10:49,34.026594,-118.277548
04/20/2024,10:49,34.026599,-118.277666
04/20/2024,10:49,34.026561,-118.277765
04/20/2024,10:49,34.026501,-118.277855
04/20/2024,10:49,34.026416,-118.277803
04/20/2024,10:49,34.026342,-118.277732
04/20/2024,10:50,34.026291,-118.277638
04/20/2024,10:50,34.026246,-118.277535
04/20/2024,10:51,34.026153,-118.277525
04/20/2024,10:51,34.026061,-118.277558
04/20/2024,10:51,34.025976,-118.277608
04/20/2024,10:51,34.025891,-118.277659
04/20/2024,10:51,34.02581,-118.277713
04/20/2024,10:51,34.025728,-118.277761
04/20/2024,10:52,34.025649,-118.277813
04/20/2024,10:52,34.02557,-118.277871
04/20/2024,10:52,34.025479,-118.277933
04/20/2024,10:52,34.025392,-118.277996
04/20/2024,10:52,34.025305,-118.278047
04/20/2024,10:52,34.025228,-118.278117
04/20/2024,10:53,34.025137,-118.278173
04/20/2024,10:53,34.025052,-118.278214
04/20/2024,10:53,34.024972,-118.278264
04/20/2024,10:53,34.024881,-118.278325
04/20/2024,10:53,34.024797,-118.278364
04/20/2024,10:53,34.024716,-118.278418
04/20/2024,10:53,34.024639,-118.278485
04/20/2024,10:54,34.024556,-118.278531
04/20/2024,10:54,34.024474,-118.278481
04/20/2024,10:54,34.024554,-118.278545
04/20/2024,10:55,34.024637,-118.278492
04/20/2024,10:55,34.024745,-118.278783
04/20/2024,10:55,34.024761,-118.27889
04/20/2024,10:55,34.024816,-118.278983
04/20/2024,10:55,34.024909,-118.278978
04/20/2024,10:55,34.024986,-118.279056
04/20/2024,10:56,34.025066,-118.279187
04/20/2024,10:56,34.025123,-118.279276
04/20/2024,10:56,34.024993,-118.279091
04/20/2024,10:56,34.025084,-118.279228
04/20/2024,10:57,34.025065,-118.279073
04/20/2024,10:58,34.025066,-118.279073
04/20/2024,11:04,34.025088,-118.279251
04/20/2024,11:04,34.02514,-118.279147
04/20/2024,11:04,34.025018,-118.279159
04/20/2024,11:05,34.02515,-118.279054
04/20/2024,11:05,34.02503,-118.279101
04/20/2024,11:05,34.024981,-118.279179
04/20/2024,11:05,34.024888,-118.279121
04/20/2024,11:05,34.024907,-118.27911
04/20/2024,11:05,34.024978,-118.279182
04/20/2024,11:05,34.024895,-118.27909
04/20/2024,11:05,34.02492,-118.278981
04/20/2024,11:06,34.024871,-118.278872
04/20/2024,11:06,34.024781,-118.278821
04/20/2024,11:06,34.024687,-118.278823
04/20/2024,11:06,34.024582,-118.278776
04/20/2024,11:06,34.024575,-118.278638
04/20/2024,11:06,34.024636,-118.27852
04/20/2024,11:06,34.024556,-118.278615
04/20/2024,11:07,34.024458,-118.278558
04/20/2024,11:07,34.024371,-118.278636
04/20/2024,11:07,34.024299,-118.27871
04/20/2024,11:07,34.024212,-118.278739
04/20/2024,11:07,34.024138,-118.278805
04/20/2024,11:07,34.024047,-118.278864
04/20/2024,11:07,34.023963,-118.278911
04/20/2024,11:07,34.023886,-118.278987
04/20/2024,11:08,34.023819,-118.279063
04/20/2024,11:08,34.023726,-118.279105
04/20/2024,11:09,34.023633,-118.279111
04/20/2024,11:09,34.023553,-118.279162
04/20/2024,11:09,34.02347,-118.279215
04/20/2024,11:10,34.023386,-118.279269
04/20/2024,11:10,34.023307,-118.279341
04/20/2024,11:10,34.023216,-118.2794
04/20/2024,11:10,34.02313,-118.279432
04/20/2024,11:10,34.023036,-118.279491
04/20/2024,11:10,34.02295,-118.279525
04/20/2024,11:10,34.022863,-118.279582
04/20/2024,11:10,34.02278,-118.279635
04/20/2024,11:11,34.022702,-118.279708
04/20/2024,11:11,34.022617,-118.279761
04/20/2024,11:11,34.022515,-118.279825
04/20/2024,11:11,34.022439,-118.279895
04/20/2024,11:11,34.022359,-118.279947
04/20/2024,11:11,34.022266,-118.280006
04/20/2024,11:11,34.022176,-118.280064
04/20/2024,11:11,34.022091,-118.280118
04/20/2024,11:11,34.022007,-118.280172
04/20/2024,11:12,34.021941,-118.28025
04/20/2024,11:12,34.021987,-118.280373
04/20/2024,11:12,34.02201,-118.280496
04/20/2024,11:12,34.022039,-118.280617
04/20/2024,11:12,34.022064,-118.280724
04/20/2024,11:12,34.022084,-118.280831
04/20/2024,11:12,34.022126,-118.28094
04/20/2024,11:12,34.022166,-118.281045
04/20/2024,11:13,34.022253,-118.281102
04/20/2024,11:13,34.022305,-118.281199
04/20/2024,11:13,34.022256,-118.281089
04/20/2024,11:13,34.022144,-118.28099
04/20/2024,11:13,34.022062,-118.280891
04/20/2024,11:13,34.021933,-118.280901
04/20/2024,11:13,34.021837,-118.280898
04/20/2024,11:13,34.021754,-118.280953
04/20/2024,11:13,34.0217,-118.281041
04/20/2024,11:13,34.021657,-118.281165
04/20/2024,11:13,34.021649,-118.281276
04/20/2024,11:14,34.021614,-118.281376
04/20/2024,11:14,34.021578,-118.281489
04/20/2024,11:14,34.02164,-118.281629
04/20/2024,11:14,34.021691,-118.281729
04/20/2024,11:14,34.02172,-118.281842
04/20/2024,11:14,34.021763,-118.281949
04/20/2024,11:14,34.021796,-118.282051
04/20/2024,11:14,34.021833,-118.282158
04/20/2024,11:15,34.021827,-118.282268
04/20/2024,11:15,34.021743,-118.282343
04/20/2024,11:15,34.021641,-118.282335
04/20/2024,11:15,34.021556,-118.282391
04/20/2024,11:15,34.021512,-118.282492
04/20/2024,11:15,34.021527,-118.282604
04/20/2024,11:15,34.021609,-118.282674
04/20/2024,11:16,34.021629,-118.282791
04/20/2024,11:16,34.021681,-118.28289
04/20/2024,11:16,34.021742,-118.282972
04/20/2024,11:17,34.021728,-118.283121
04/20/2024,11:17,34.021813,-118.283062
04/20/2024,11:17,34.021896,-118.283015
04/20/2024,11:17,34.021953,-118.282931
04/20/2024,11:17,34.021877,-118.282878
04/20/2024,11:17,34.021796,-118.282986
04/20/2024,11:17,34.021694,-118.282996
04/20/2024,11:18,34.021658,-118.282877
04/20/2024,11:18,34.021531,-118.282917
04/20/2024,11:18,34.02177,-118.28268
04/20/2024,11:18,34.02186,-118.282707
04/20/2024,11:18,34.02181,-118.282616
04/20/2024,11:18,34.021795,-118.282622
04/20/2024,11:20,34.021685,-118.282743
04/20/2024,11:20,34.021804,-118.282617
04/20/2024,11:20,34.021736,-118.282519
04/20/2024,11:20,34.021807,-118.282508
04/20/2024,11:21,34.021739,-118.282584
04/20/2024,11:21,34.021694,-118.282431
04/20/2024,11:21,34.021693,-118.282393
04/20/2024,11:21,34.021723,-118.282501
04/20/2024,11:21,34.021712,-118.28261
04/20/2024,11:21,34.021718,-118.282726
04/20/2024,11:22,34.021751,-118.282412
04/20/2024,11:22,34.021752,-118.282175
04/20/2024,11:22,34.021704,-118.282059
04/20/2024,11:23,34.021868,-118.282718
04/20/2024,11:23,34.021899,-118.282835
04/20/2024,11:23,34.021833,-118.282404
04/20/2024,11:23,34.021754,-118.282145
