04/19/24|000010601|Goose Bay|OZONE-1HR|PPB|47|1|Canadian Air and Precipitation Monitoring Network
04/19/24|000010601|Goose Bay|OZONE-8HR|PPB|46|8|Canadian Air and Precipitation Monitoring Network
04/19/24|000020104|CHARLOTTETOWN|OZONE-1HR|PPB|42|1|Canada-Prince Edward Island1
04/19/24|000020104|CHARLOTTETOWN|OZONE-8HR|PPB|40|8|Canada-Prince Edward Island1
04/19/24|000020104|CHARLOTTETOWN|PM2.5-24hr|UG/M3|5.1|24|Canada-Prince Edward Island1
04/19/24|000020104|CHARLOTTETOWN|SO2-24HR|PPB|0|24|Canada-Prince Edward Island1
04/19/24|000020301|WELLINGTON|OZONE-1HR|PPB|40|1|Canada-Prince Edward Island1
04/19/24|000020301|WELLINGTON|OZONE-8HR|PPB|39|8|Canada-Prince Edward Island1
04/19/24|000020301|WELLINGTON|PM2.5-24hr|UG/M3|3.7|24|Canada-Prince Edward Island1
04/19/24|000020401|SOUTHAMPTON|OZONE-1HR|PPB|41|1|Canada-Prince Edward Island1
04/19/24|000020401|SOUTHAMPTON|OZONE-8HR|PPB|40|8|Canada-Prince Edward Island1
04/19/24|000020401|SOUTHAMPTON|PM2.5-24hr|UG/M3|6.3|24|Canada-Prince Edward Island1
04/19/24|000030113|JOHNSTON BUILDING -|CO-8hr|PPM|0.1|1|Canada-Nova Scotia1
04/19/24|000030113|JOHNSTON BUILDING -|OZONE-1HR|PPB|40|1|Canada-Nova Scotia1
04/19/24|000030113|JOHNSTON BUILDING -|OZONE-8HR|PPB|36|8|Canada-Nova Scotia1
04/19/24|000030113|JOHNSTON BUILDING -|PM2.5-24hr|UG/M3|3.5|24|Canada-Nova Scotia1
04/19/24|000030113|JOHNSTON BUILDING -|SO2-24HR|PPB|0.1|24|Canada-Nova Scotia1
04/19/24|000030120|Lake Major|OZONE-1HR|PPB|46|1|Canada-Nova Scotia1
04/19/24|000030120|Lake Major|OZONE-8HR|PPB|42|8|Canada-Nova Scotia1
04/19/24|000030120|Lake Major|PM2.5-24hr|UG/M3|2.5|24|Canada-Nova Scotia1
04/19/24|000030120|Lake Major|SO2-24HR|PPB|-0.1|24|Canada-Nova Scotia1
04/19/24|000030201|PORT HAWKESBURY|OZONE-1HR|PPB|41|1|Canada-Nova Scotia1
04/19/24|000030201|PORT HAWKESBURY|OZONE-8HR|PPB|40|8|Canada-Nova Scotia1
04/19/24|000030201|PORT HAWKESBURY|PM2.5-24hr|UG/M3|7.4|24|Canada-Nova Scotia1
04/19/24|000030201|PORT HAWKESBURY|SO2-24HR|PPB|-0.4|24|Canada-Nova Scotia1
04/19/24|000030310|SYDNEY|CO-8hr|PPM|0.1|1|Canada-Nova Scotia1
04/19/24|000030310|SYDNEY|OZONE-1HR|PPB|43|1|Canada-Nova Scotia1
04/19/24|000030310|SYDNEY|OZONE-8HR|PPB|41|8|Canada-Nova Scotia1
04/19/24|000030310|SYDNEY|PM2.5-24hr|UG/M3|6.7|24|Canada-Nova Scotia1
04/19/24|000030310|SYDNEY|SO2-24HR|PPB|0.9|24|Canada-Nova Scotia1
04/19/24|000030502|Kejimkujik Site B|OZONE-1HR|PPB|47|1|Canadian Air and Precipitation Monitoring Network
04/19/24|000030502|Kejimkujik Site B|OZONE-8HR|PPB|45|8|Canadian Air and Precipitation Monitoring Network
04/19/24|000030701|AYLESFORD MOUNTAIN|OZONE-1HR|PPB|43|1|Canada-Nova Scotia1
04/19/24|000030701|AYLESFORD MOUNTAIN|OZONE-8HR|PPB|42|8|Canada-Nova Scotia1
04/19/24|000030701|AYLESFORD MOUNTAIN|PM2.5-24hr|UG/M3|1.9|24|Canada-Nova Scotia1
04/19/24|000030901|PICTOU|OZONE-1HR|PPB|38|1|Canada-Nova Scotia1
04/19/24|000030901|PICTOU|OZONE-8HR|PPB|37|8|Canada-Nova Scotia1
04/19/24|000030901|PICTOU|PM2.5-24hr|UG/M3|4.5|24|Canada-Nova Scotia1
04/19/24|000030901|PICTOU|SO2-24HR|PPB|-0|24|Canada-Nova Scotia1
04/19/24|000031101|KENTVILLE|OZONE-1HR|PPB|45|1|Canada-Nova Scotia1
04/19/24|000031101|KENTVILLE|OZONE-8HR|PPB|42|8|Canada-Nova Scotia1
04/19/24|000031101|KENTVILLE|PM2.5-24hr|UG/M3|2.6|24|Canada-Nova Scotia1
04/19/24|000050113|Laval - Chomedey|OZONE-1HR|PPB|36|1|Canada-Quebec1
04/19/24|000050113|Laval - Chomedey|OZONE-8HR|PPB|36|8|Canada-Quebec1
04/19/24|000050113|Laval - Chomedey|PM2.5-24hr|UG/M3|3.5|24|Canada-Quebec1
04/19/24|000050119|Longueuil|OZONE-1HR|PPB|39|1|Canada-Quebec1
04/19/24|000050119|Longueuil|OZONE-8HR|PPB|36|8|Canada-Quebec1
04/19/24|000050122|Brossard - Parc Sorb|OZONE-1HR|PPB|38|1|Canada-Quebec1
04/19/24|000050122|Brossard - Parc Sorb|OZONE-8HR|PPB|37|8|Canada-Quebec1
04/19/24|000050122|Brossard - Parc Sorb|PM2.5-24hr|UG/M3|3.1|24|Canada-Quebec1
04/19/24|000050137|Terrebonne - Parc Va|OZONE-1HR|PPB|37|1|Canada-Quebec1
04/19/24|000050137|Terrebonne - Parc Va|OZONE-8HR|PPB|37|8|Canada-Quebec1
04/19/24|000050137|Terrebonne - Parc Va|PM2.5-24hr|UG/M3|4|24|Canada-Quebec1
04/19/24|000050204|Gatineau - Hull|OZONE-1HR|PPB|40|1|Canada-Quebec1
04/19/24|000050204|Gatineau - Hull|OZONE-8HR|PPB|36|8|Canada-Quebec1
04/19/24|000050204|Gatineau - Hull|PM2.5-24hr|UG/M3|4.2|24|Canada-Quebec1
04/19/24|000050308|Quebec - Vieux-Limoi|OZONE-1HR|PPB|36|1|Canada-Quebec1
04/19/24|000050308|Quebec - Vieux-Limoi|OZONE-8HR|PPB|31|8|Canada-Quebec1
04/19/24|000050308|Quebec - Vieux-Limoi|PM2.5-24hr|UG/M3|4|24|Canada-Quebec1
04/19/24|000050310|Quebec - College St-|OZONE-1HR|PPB|37|1|Canada-Quebec1
04/19/24|000050310|Quebec - College St-|OZONE-8HR|PPB|32|8|Canada-Quebec1
04/19/24|000050310|Quebec - College St-|PM2.5-24hr|UG/M3|4.1|24|Canada-Quebec1
04/19/24|000050311|Quebec - Ecole Les P|OZONE-1HR|PPB|40|1|Canada-Quebec1
04/19/24|000050311|Quebec - Ecole Les P|OZONE-8HR|PPB|33|8|Canada-Quebec1
04/19/24|000050311|Quebec - Ecole Les P|PM2.5-24hr|UG/M3|4.7|24|Canada-Quebec1
04/19/24|000050504|Saguenay - UQAC|OZONE-1HR|PPB|49|1|Canada-Quebec1
04/19/24|000050504|Saguenay - UQAC|OZONE-8HR|PPB|40|8|Canada-Quebec1
