04/17/24|04/16/24||CDT|-1|Y|Y|Aberdeen|SD|45.4680|-98.4940|PM10|22|Good|No||South Dakota Department of Agriculture and Natural Resources
04/17/24|04/16/24||CDT|-1|Y|N|Aberdeen|SD|45.4680|-98.4940|PM2.5|16|Good|No||South Dakota Department of Agriculture and Natural Resources
04/17/24|04/17/24|23:00|CDT|0|O|Y|Aberdeen|SD|45.4680|-98.4940|PM2.5|8|Good|No||South Dakota Department of Agriculture and Natural Resources
04/17/24|04/17/24|23:00|CDT|0|O|N|Aberdeen|SD|45.4680|-98.4940|PM10|6|Good|No||South Dakota Department of Agriculture and Natural Resources
04/17/24|04/16/24||PDT|-1|Y|Y|Aberdeen|WA|46.9725|-123.8317|PM2.5|11|Good|No||Olympic Region Clean Air Agency
04/17/24|04/17/24|21:00|PDT|0|O|Y|Aberdeen|WA|46.9725|-123.8317|PM2.5|11|Good|No||Olympic Region Clean Air Agency
04/12/24|04/17/24||PDT|5|F|Y|Aberdeen|WA|46.9725|-123.8317|PM2.5|17|Good|No||Olympic Region Clean Air Agency
04/18/24|04/17/24||GMT|-1|Y|Y|Abidjan|  |5.3351|-3.9760|PM2.5|74|Moderate|No||U.S. Department of State Ivory Coast - Abidjan
04/18/24|04/17/24||WAT|-1|Y|Y|Abuja|  |9.0407|7.4752|PM2.5|119|Unhealthy for Sensitive Groups|No||U.S. Department of State Nigeria - Abuja
04/18/24|04/18/24|5:00|WAT|0|O|Y|Abuja|  |9.0407|7.4752|PM2.5|100|Moderate|No||U.S. Department of State Nigeria - Abuja
04/18/24|04/17/24||EAT|-1|Y|Y|Addis Ababa Central|  |9.0585|38.7616|PM2.5|59|Moderate|No||U.S. Department of State Ethiopia - Addis Ababa
04/18/24|04/18/24|7:00|EAT|0|O|Y|Addis Ababa Central|  |9.0585|38.7616|PM2.5|52|Moderate|No||U.S. Department of State Ethiopia - Addis Ababa
04/18/24|04/17/24||EAT|-1|Y|Y|Addis Ababa School|  |8.9965|38.7254|PM2.5|93|Moderate|No||U.S. Department of State Ethiopia - Addis Ababa
04/18/24|04/18/24|7:00|EAT|0|O|Y|Addis Ababa School|  |8.9965|38.7254|PM2.5|137|Unhealthy for Sensitive Groups|No||U.S. Department of State Ethiopia - Addis Ababa
04/18/24|04/17/24||EDT|-1|Y|Y|Adirondacks Region|NY|44.2710|-74.2693|OZONE|42|Good|No||New York Dept. of Environmental Conservation
04/18/24|04/17/24||EDT|-1|Y|N|Adirondacks Region|NY|44.2710|-74.2693|PM2.5|8|Good|No||New York Dept. of Environmental Conservation
04/17/24|04/17/24||EDT|0|F|Y|Adirondacks Region|NY|44.2710|-74.2693|OZONE|44|Good|No||New York Dept. of Environmental Conservation
04/17/24|04/17/24||EDT|0|F|N|Adirondacks Region|NY|44.2710|-74.2693|PM2.5|14|Good|No||New York Dept. of Environmental Conservation
04/18/24|04/18/24|0:00|EDT|0|O|Y|Adirondacks Region|NY|44.2710|-74.2693|OZONE|31|Good|No||New York Dept. of Environmental Conservation
