04/08/24|08:00|000010601|Goose Bay|-4|OZONE|PPB|33|Canadian Air and Precipitation Monitoring Network
04/08/24|08:00|000020104|CHARLOTTETOWN|-4|NO|PPB|0.6|Canada-Prince Edward Island1
04/08/24|08:00|000020104|CHARLOTTETOWN|-4|NO2|PPB|3.8|Canada-Prince Edward Island1
04/08/24|08:00|000020104|CHARLOTTETOWN|-4|OZONE|PPB|36|Canada-Prince Edward Island1
04/08/24|08:00|000020104|CHARLOTTETOWN|-4|PM2.5|UG/M3|6.2|Canada-Prince Edward Island1
04/08/24|08:00|000020104|CHARLOTTETOWN|-4|SO2|PPB|0|Canada-Prince Edward Island1
04/08/24|08:00|000020301|WELLINGTON|-4|NO|PPB|0.3|Canada-Prince Edward Island1
04/08/24|08:00|000020301|WELLINGTON|-4|NO2|PPB|0.1|Canada-Prince Edward Island1
04/08/24|08:00|000020301|WELLINGTON|-4|OZONE|PPB|19|Canada-Prince Edward Island1
04/08/24|08:00|000020301|WELLINGTON|-4|PM2.5|UG/M3|6.2|Canada-Prince Edward Island1
04/08/24|08:00|000020401|SOUTHAMPTON|-4|NO|PPB|-0.2|Canada-Prince Edward Island1
04/08/24|08:00|000020401|SOUTHAMPTON|-4|NO2|PPB|0.2|Canada-Prince Edward Island1
04/08/24|08:00|000020401|SOUTHAMPTON|-4|OZONE|PPB|40|Canada-Prince Edward Island1
04/08/24|08:00|000020401|SOUTHAMPTON|-4|PM2.5|UG/M3|6.3|Canada-Prince Edward Island1
04/08/24|08:00|000030113|JOHNSTON BUILDING -|-4|CO|PPM|0.1|Canada-Nova Scotia1
04/08/24|08:00|000030113|JOHNSTON BUILDING -|-4|NO|PPB|1.1|Canada-Nova Scotia1
04/08/24|08:00|000030113|JOHNSTON BUILDING -|-4|NO2|PPB|2.6|Canada-Nova Scotia1
04/08/24|08:00|000030113|JOHNSTON BUILDING -|-4|NOX|PPB|3.8|Canada-Nova Scotia1
04/08/24|08:00|000030113|JOHNSTON BUILDING -|-4|OZONE|PPB|33|Canada-Nova Scotia1
04/08/24|08:00|000030113|JOHNSTON BUILDING -|-4|PM2.5|UG/M3|3.9|Canada-Nova Scotia1
04/08/24|08:00|000030113|JOHNSTON BUILDING -|-4|SO2|PPB|0.1|Canada-Nova Scotia1
04/08/24|08:00|000030120|Lake Major|-4|NO|PPB|0|Canada-Nova Scotia1
04/08/24|08:00|000030120|Lake Major|-4|NO2|PPB|0|Canada-Nova Scotia1
04/08/24|08:00|000030120|Lake Major|-4|NOX|PPB|0|Canada-Nova Scotia1
04/08/24|08:00|000030120|Lake Major|-4|OZONE|PPB|39|Canada-Nova Scotia1
04/08/24|08:00|000030120|Lake Major|-4|PM2.5|UG/M3|3.8|Canada-Nova Scotia1
04/08/24|08:00|000030120|Lake Major|-4|SO2|PPB|-0.1|Canada-Nova Scotia1
04/08/24|08:00|000030201|PORT HAWKESBURY|-4|NO|PPB|0.3|Canada-Nova Scotia1
04/08/24|08:00|000030201|PORT HAWKESBURY|-4|NO2|PPB|1|Canada-Nova Scotia1
04/08/24|08:00|000030201|PORT HAWKESBURY|-4|NOX|PPB|1.3|Canada-Nova Scotia1
04/08/24|08:00|000030201|PORT HAWKESBURY|-4|OZONE|PPB|33|Canada-Nova Scotia1
04/08/24|08:00|000030201|PORT HAWKESBURY|-4|PM2.5|UG/M3|5.7|Canada-Nova Scotia1
04/08/24|08:00|000030201|PORT HAWKESBURY|-4|SO2|PPB|-0.3|Canada-Nova Scotia1
04/08/24|08:00|000030310|SYDNEY|-4|CO|PPM|0.1|Canada-Nova Scotia1
04/08/24|08:00|000030310|SYDNEY|-4|NO|PPB|1.2|Canada-Nova Scotia1
04/08/24|08:00|000030310|SYDNEY|-4|NO2|PPB|0.2|Canada-Nova Scotia1
04/08/24|08:00|000030310|SYDNEY|-4|NOX|PPB|1.5|Canada-Nova Scotia1
04/08/24|08:00|000030310|SYDNEY|-4|OZONE|PPB|41|Canada-Nova Scotia1
04/08/24|08:00|000030310|SYDNEY|-4|PM2.5|UG/M3|5.2|Canada-Nova Scotia1
04/08/24|08:00|000030310|SYDNEY|-4|SO2|PPB|0.4|Canada-Nova Scotia1
04/08/24|08:00|000030502|Kejimkujik Site B|-4|OZONE|PPB|32|Canadian Air and Precipitation Monitoring Network
04/08/24|08:00|000030701|AYLESFORD MOUNTAIN|-4|OZONE|PPB|38|Canada-Nova Scotia1
04/08/24|08:00|000030701|AYLESFORD MOUNTAIN|-4|PM2.5|UG/M3|3.6|Canada-Nova Scotia1
04/08/24|08:00|000030901|PICTOU|-4|NO|PPB|0.8|Canada-Nova Scotia1
04/08/24|08:00|000030901|PICTOU|-4|NO2|PPB|0.3|Canada-Nova Scotia1
04/08/24|08:00|000030901|PICTOU|-4|NOX|PPB|1.1|Canada-Nova Scotia1
04/08/24|08:00|000030901|PICTOU|-4|OZONE|PPB|34|Canada-Nova Scotia1
04/08/24|08:00|000030901|PICTOU|-4|PM2.5|UG/M3|5.3|Canada-Nova Scotia1
04/08/24|08:00|000030901|PICTOU|-4|SO2|PPB|0.2|Canada-Nova Scotia1
04/08/24|08:00|000031101|KENTVILLE|-4|NO|PPB|0.2|Canada-Nova Scotia1
04/08/24|08:00|000031101|KENTVILLE|-4|NO2|PPB|0.2|Canada-Nova Scotia1
04/08/24|08:00|000031101|KENTVILLE|-4|NOX|PPB|0.5|Canada-Nova Scotia1
04/08/24|08:00|000031101|KENTVILLE|-4|OZONE|PPB|34|Canada-Nova Scotia1
04/08/24|08:00|000031101|KENTVILLE|-4|PM2.5|UG/M3|4.3|Canada-Nova Scotia1
04/08/24|08:00|000050113|Laval - Chomedey|-5|OZONE|PPB|15|Canada-Quebec1
04/08/24|08:00|000050113|Laval - Chomedey|-5|PM2.5|UG/M3|5.8|Canada-Quebec1
04/08/24|08:00|000050119|Longueuil|-5|OZONE|PPB|13|Canada-Quebec1
04/08/24|08:00|000050119|Longueuil|-5|PM2.5|UG/M3|6|Canada-Quebec1
04/08/24|08:00|000050122|Brossard - Parc Sorb|-5|OZONE|PPB|27|Canada-Quebec1
04/08/24|08:00|000050122|Brossard - Parc Sorb|-5|PM2.5|UG/M3|4|Canada-Quebec1
04/08/24|08:00|000050137|Terrebonne - Parc Va|-5|OZONE|PPB|9|Canada-Quebec1
04/08/24|08:00|000050137|Terrebonne - Parc Va|-5|PM2.5|UG/M3|8.8|Canada-Quebec1
04/08/24|08:00|000050204|Gatineau - Hull|-5|OZONE|PPB|8|Canada-Quebec1
04/08/24|08:00|000050204|Gatineau - Hull|-5|PM2.5|UG/M3|8.7|Canada-Quebec1
04/08/24|08:00|000050308|Québec - Vieux-Limoi|-5|OZONE|PPB|22|Canada-Quebec1
04/08/24|08:00|000050308|Québec - Vieux-Limoi|-5|PM2.5|UG/M3|5.6|Canada-Quebec1
04/08/24|08:00|000050310|Québec - Collège St-|-5|OZONE|PPB|26|Canada-Quebec1
04/08/24|08:00|000050310|Québec - Collège St-|-5|PM2.5|UG/M3|4.9|Canada-Quebec1
04/08/24|08:00|000050311|Québec - École Les P|-5|OZONE|PPB|9|Canada-Quebec1
04/08/24|08:00|000050311|Québec - École Les P|-5|PM2.5|UG/M3|6.5|Canada-Quebec1
04/08/24|08:00|000050504|Saguenay - UQAC|-5|OZONE|PPB|24|Canada-Quebec1
04/08/24|08:00|000050504|Saguenay - UQAC|-5|PM2.5|UG/M3|6.1|Canada-Quebec1
